RowID,Year,BranchName,AnnualNumberofVisits
1,2012,Albion,522309
2,2012,Albert Campbell,214076
3,2012,Alderwood,88065
4,2012,Agincourt,434320
5,2012,Armour Heights,67184
6,2012,Annette Street,96885
7,2012,Amesbury Park,74678
8,2012,Brookbanks,61252
9,2012,Black Creek,95843
10,2012,Bendale,62326
11,2012,Beaches,235687
12,2012,Barbara Frum,353141
13,2012,Bookmobile One,39749
14,2012,Bloor/Gladstone,373581
15,2012,Brentwood,40479
16,2012,Bridlewood,392397
17,2012,Burrows Hall,151087
18,2012,Cliffcrest,89195
19,2012,Centennial,143138
20,2012,Cedarbrae,415753
21,2012,City Hall,215588
22,2012,North York Central Library,1493796
23,2012,College/Shaw,120622
24,2012,Danforth/Coxwell,168594
25,2012,Don Mills,248880
26,2012,Downsview,339600
27,2012,Deer Park,229132
28,2012,Dawes Road,133892
29,2012,Davenport,40644
30,2012,Dufferin/St. Clair,117090
31,2012,Eatonville,205341
32,2012,Elmbrook Park,54894
33,2012,Evelyn Gregory,51552
34,2012,Ethennonnhawahstihnen',188863
35,2012,Eglinton Square,220158
36,2012,Forest Hill,93424
37,2012,Flemingdon Park,150663
38,2012,Fairview,442214
39,2012,Gerrard/Ashdale,104885
40,2012,Goldhawk Park,205973
41,2012,Guildwood,58289
42,2012,Humber Bay,59603
43,2012,Highland Creek,80642
44,2012,Hillcrest,150059
45,2012,High Park,164444
46,2012,Humber Summit,51300
47,2012,Humberwood,209196
48,2012,Jane/Dundas,165105
49,2012,Jones,87163
50,2012,Jane/Sheppard,95315
51,2012,Kennedy/Eglinton,117782
52,2012,Long Branch,53681
53,2012,Leaside,134816
54,2012,Locke,181942
55,2012,Lillian H. Smith,370557
56,2012,Main Street,127129
57,2012,Malvern,358262
58,2012,Maria A. Shchuka,242057
59,2012,McGregor Park,132919
60,2012,Merril Collection,7612
61,2012,Mimico Centennial,93400
62,2012,Mount Pleasant,66278
63,2012,Maryvale,168413
64,2012,Morningside,119263
65,2012,Northern District,407488
66,2012,Northern Elms,39158
67,2012,New Toronto,88266
68,2012,Osborne Collection,9372
69,2012,Oakwood Village Library and Arts Centre,79205
70,2012,Pape/Danforth,279483
71,2012,Perth/Dupont,35235
72,2012,Parkdale,315734
73,2012,Parliament Street,205094
74,2012,Palmerston,119602
75,2012,Port Union,134834
76,2012,Pleasant View,103343
77,2012,Queen/Saulter,60209
78,2012,Riverdale,231360
79,2012,Richview,421962
80,2012,Runnymede,325843
81,2012,Rexdale,45502
82,2012,Sanderson,352949
83,2012,Sunnybrook Hospital,21484
84,2012,St. Clair/Silverthorn,41997
85,2012,St. James Town,198384
86,2012,St. Lawrence,99144
87,2012,Spadina Road,92352
88,2012,Steeles,210047
89,2012,Swansea Memorial,20256
90,2012,S. Walter Stewart,254166
91,2012,Taylor Memorial,40929
92,2012,Thorncliffe,205064
93,2012,Todmorden Room,21401
94,2012,Toronto Reference Library,1137016
95,2012,Victoria Village,65984
96,2012,Weston,84777
97,2012,Woodview Park,35561
98,2012,Woodside Square,488396
99,2012,Wychwood,107079
100,2012,Yorkville,208985
101,2012,York Woods,212775
102,2013,Albion,432525
103,2013,Albert Campbell,222012
104,2013,Alderwood,96088
105,2013,Agincourt,451500
106,2013,Armour Heights,68925
107,2013,Annette Street,79655
108,2013,Amesbury Park,53300
109,2013,Brookbanks,60825
110,2013,Black Creek,82713
111,2013,Bendale,72446
112,2013,Beaches,215213
113,2013,Barbara Frum,364175
114,2013,Bookmobile One,31488
115,2013,Bloor/Gladstone,367025
116,2013,Brentwood,247650
117,2013,Bridlewood,399650
118,2013,Burrows Hall,144500
119,2013,Cliffcrest,80800
120,2013,Centennial,138425
121,2013,Cedarbrae,405263
122,2013,City Hall,219213
123,2013,North York Central Library,1690775
124,2013,College/Shaw,112175
125,2013,Danforth/Coxwell,158188
126,2013,Don Mills,239838
127,2013,Downsview,153000
128,2013,Deer Park,225188
129,2013,Dawes Road,123463
130,2013,Davenport,39263
131,2013,Dufferin/St. Clair,121688
132,2013,Eatonville,214193
133,2013,Elmbrook Park,55800
134,2013,Evelyn Gregory,60925
135,2013,Ethennonnhawahstihnen',205213
136,2013,Eglinton Square,217688
137,2013,Forest Hill,90188
138,2013,Flemingdon Park,150363
139,2013,Gerrard/Ashdale,99125
140,2013,Goldhawk Park,184713
141,2013,Guildwood,51138
142,2013,Humber Bay,53538
143,2013,Highland Creek,60375
144,2013,Hillcrest,222063
145,2013,High Park,235163
146,2013,Humber Summit,48263
147,2013,Humberwood,212738
148,2013,Jane/Dundas,168775
149,2013,Jones,75250
150,2013,Jane/Sheppard,115425
151,2013,Kennedy/Eglinton,117338
152,2013,Long Branch,54113
153,2013,Leaside,160863
154,2013,Locke,179513
155,2013,Lillian H. Smith,354888
156,2013,Main Street,107346
157,2013,Malvern,385150
